Squadra,Rigorista 1,Rigorista 2,Rigorista 3,Tiratore Piazzati 1,Tiratore Piazzati 2,Tiratore Piazzati 3
Atalanta,Scamacca,Samardzic,Krstovic,De Ketelaere,Samardzic,Ederson D.S.
Bologna,Orsolini,Bernardeschi,Castro S.,Orsolini,Bernardeschi,Ferguson
Cagliari,Esposito Se.,Mina,Mutandwa,Esposito Se.,Fazzini,Felici
Como,Da Cunha,Paz N.,Douvikas,Paz N.,Baturina,Da Cunha
Fiorentina,Gudmundsson A.,Kean,Mandragora,Mandragora,Gudmundsson A.,Atta
Frosinone,Calò,Raimondo,Kvernadze,Calò,Ghedjemis,Raimondo
Genoa,Colombo,Vitinha O.,Ostigard,Baldanzi,Colombo,Martin
Inter,Calhanoglu,Zielinski,Martinez L.,Calhanoglu,Dimarco,Zielinski
Juventus,Yildiz,Kolo Muani,Locatelli,Yildiz,Locatelli,Conceicao
Lazio,Zaccagni,Cataldi,Dia,Rovella,Zaccagni,Cataldi
Lecce,Geubbels,Stulic,Pierotti,Pierotti,Berisha M.,Gandelman
Milan,Nkunku,Ramos G.,Pulisic,Modric,Pulisic,Saelemaekers
Monza,Pessina,Cutrone,Petagna,Pessina,Colpani,Mota
Napoli,Lukaku,De Bruyne,Hojlund,De Bruyne,Politano,Neres
Parma,Pellegrino M.,Bernabè,Ondrejka,Bernabè,Nicolussi Caviglia,Valeri
Roma,Dovbyk,Dybala,Malen,Dybala,Malen,Soulè
Sassuolo,Berardi,Pinamonti,Laurienté,Berardi,Laurienté,Thorstvedt
Torino,Vlasic,Zapata D.,Simeone,Vlasic,Oristanio,Gineitis
Udinese,Davis K.,Solet,Zaniolo,Zaniolo,Ekkelenkamp,Miller L.
Venezia,Adams A.,Rrahmani Al.,Adorante,Busio,Yeboah J.,Perez K.
