Posizione;Giocatore;Gol Totali;Gol ogni 90 min
1;Lautaro Martínez;17;0.7
2;Gianluca Scamacca;10;0.68
3;Dusan Vlahovic;7;0.65
4;Marcus Thuram;13;0.61
5;Anastasios Douvikas;14;0.55
6;Nikola Krstovic;10;0.5
7;Hakan Çalhanoglu;9;0.49
8;Christopher Nkunku;7;0.47
9;Pedro;5;0.46
10;Christian Pulisic;8;0.45
11;Giovanni Simeone;11;0.44
12;Rafael Leão;9;0.44
13;Keinan Davis;10;0.43
13;Riccardo Orsolini;10;0.43
15;Francesco Pio Esposito;7;0.4
16;Ange-Yoan Bonny;5;0.4
17;Junior Messias;3;0.4
18;Rasmus Højlund;12;0.39
19;Nico Paz;12;0.37
20;Domenico Berardi;8;0.37
21;Caleb Ekuban;4;0.37
21;Semih Kiliçsoy;4;0.37
23;Federico Bonazzoli;10;0.36
24;Moise Kean;8;0.35
25;Gennaro Borrelli;5;0.35
26;Martin Baturina;6;0.34
27;Konan N’Dri;2;0.34
28;Jens Odgaard;5;0.33
29;Kenan Yildiz;10;0.32
29;Scott McTominay;10;0.32
31;Tijjani Noslin;4;0.32
32;Andrea Pinamonti;9;0.31
33;Gift Orban;7;0.31
34;Jamie Vardy;7;0.3
35;Jonathan David;6;0.3
36;Federico Bernardeschi;4;0.3
36;Walid Cheddira;4;0.3
38;Adam Buksa;3;0.3
39;Jeff Ekhator;3;0.29
40;Ché Adams;6;0.28
41;Gustav Isaksen;5;0.28
42;Mateo Pellegrino;9;0.27
43;Lorenzo Colombo;7;0.27
43;Santiago Castro;7;0.27
43;Stefano Moreo;7;0.27
46;Cesare Casadei;6;0.27
47;Rolando Mandragora;7;0.26
48;Piotr Zielinski;6;0.26
49;Lameck Banda;5;0.26
50;Matias Soulé;6;0.25
51;Duván Zapata;3;0.25
52;Nikola Vlasic;8;0.24
53;Armand Laurienté;7;0.24
54;Ruslan Malinovsky;6;0.24
55;Lorenzo Pellegrini;4;0.24
55;M'Bala Nzola;4;0.24
57;Ruben Loftus-Cheek;3;0.24
58;Federico Dimarco;7;0.23
58;Sebastiano Esposito;7;0.23
60;Henrikh Mkhitaryan;4;0.23
61;Riyad Idrissi;2;0.23
62;Roberto Piccoli;4;0.22
63;Thijs Dallinga;2;0.22
63;Zachary Athekame;2;0.22
65;Idrissa Gueye;1;0.22
66;Adrien Rabiot;6;0.21
67;Matteo Cancellieri;4;0.21
67;Nikola Stulic;4;0.21
69;Ismaël Koné;6;0.2
69;Lucas Da Cunha;6;0.2
71;Albert Gudmundsson;5;0.2
71;Jurgen Ekkelenkamp;5;0.2
71;Nicolò Zaniolo;5;0.2
71;Vítinha;5;0.2
75;Denzel Dumfries;3;0.2
75;Morten Thorsby;3;0.2
77;Tommaso Pobega;3;0.19
78;Daniel Maldini;2;0.19
79;Andy Diouf;1;0.19
80;Arthur Atta;5;0.18
80;Wesley;5;0.18
82;Nicolò Cambiaghi;3;0.18
83;Alieu Fadera;2;0.18
83;Kamaldeen Sulemana;2;0.18
83;Lazar Samardzic;2;0.18
83;Omri Gandelman;2;0.18
87;Juan Cuadrado;1;0.18
88;Leo Østigard;5;0.17
89;Gleison Bremer;4;0.17
90;Jonathan Rowe;3;0.17
91;Cristian Volpato;2;0.17
91;Federico Gatti;2;0.17
91;Marco Brescianini;2;0.17
94;Strahinja Pavlovic;5;0.16
94;Weston McKennie;5;0.16
96;Suat Serdar;2;0.16
97;Kristian Thorstvedt;4;0.15
97;Marc-Oliver Kempf;4;0.15
99;Giorgio Scalvini;3;0.15
100;Alberto Moreno;2;0.15
100;Giovanni Fabbian;2;0.15
102;Fabio Miretti;1;0.15
103;Cher Ndour;3;0.14
103;Danilo Cataldi;3;0.14
